Open time,Open,High,Low,Close,Volume
4/7/2022,3168.52,3268.98,3143.15,3227.19,458179.3272
4/8/2022,3227.2,3314.02,3173.52,3192.39,502422.5048
4/9/2022,3192.39,3268.4,3181.28,3258.57,212444.2566
4/10/2022,3258.57,3307.22,3193,3203.04,232303.2326
4/11/2022,3203.04,3213.63,2950,2979.74,693394.2912
4/12/2022,2979.75,3085,2950,3027.66,579522.9505
4/13/2022,3027.65,3128.97,2996.86,3118.28,419101.494
4/14/2022,3118.28,3145,2976.3,3021.98,408382.5572
4/15/2022,3021.98,3060.92,2993.13,3040.56,249626.2981
4/16/2022,3040.57,3086.1,3010.03,3059.3,176352.4165
4/17/2022,3059.3,3083,2981.7,2988.06,243772.074
4/18/2022,2988.07,3069.6,2883.22,3055.56,510251.6536
4/19/2022,3055.56,3131,3030.34,3101.77,359375.0038
4/20/2022,3101.74,3166.5,3036.45,3076.04,415000.0685
4/21/2022,3076.03,3180,2942.31,2983.58,562699.697
4/22/2022,2983.57,3034.32,2930.35,2962.39,452433.082
4/23/2022,2962.39,2978.03,2913.89,2933.03,187576.7324
4/24/2022,2933.04,2967.06,2912.09,2921,218957.0222
4/25/2022,2920.99,3025.65,2797.01,3006.62,619198.3616
4/26/2022,3006.63,3039.54,2767,2809.67,531184.3504
4/27/2022,2809.68,2919.87,2794.46,2888.96,488951.2416
4/28/2022,2888.95,2980,2853.83,2936.93,537392.9978
4/29/2022,2936.92,2946.46,2776.63,2817.13,525978.147
4/30/2022,2817.13,2841.63,2709.26,2726.66,367757.2469
5/1/2022,2726.67,2849.9,2716.13,2824.81,442544.8792
5/2/2022,2824.81,2894.22,2778.78,2856.54,521706.8567
5/3/2022,2856.54,2861.47,2755.19,2781.7,371331.1796
5/4/2022,2781.7,2965.85,2771.74,2940.64,548738.0668
5/5/2022,2940.65,2954.65,2683,2747.97,734845.3194
5/6/2022,2747.96,2758.18,2632.95,2692.85,711449.3234
5/7/2022,2692.86,2704.36,2584.75,2635.34,371271.4532
5/8/2022,2635.35,2642,2484,2519.71,757615.3415
5/9/2022,2519.71,2530.78,2225,2228.55,1574924.979
